,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96
,,TET1,PHC1,MBD3,SNAI2,FOXD1,FOSB,CD44,GABRB3,SOX2,ZNF281,SP1,LEFTY1,SET,CBX7,UTF1,CDH2_NCAD,HNF4A,TGFBR2,DUSP10,ESRRB,MYC,ZFP42_REX1,TRIM28,CD48,CDKN1A,JMJD3,RNF2,LATS2,T,FGF2,LCK,KLF5,KLF4,NACC1,FBXO15,CD4,DNMT3L,EZH2,EED,SMARCC2,MyoD1,NODAL,CDH1,DPPA4,LEFTY2,RIF1,ETV5,CD3D,DNMT3B,KDM5A,JARID2,LOX,Sox1,Wnt3,Gata6,DPPA2,SALL1,NR0B1_DAX1,TCF3,PTPN6,USP16,SETD1A,HDAC2,LUM,SOX13,SMAD4,SEMA6A,GAL,SALL4,REST,HESX1,CCR7,PRDM14,JMJD2B,COL3A1,GREM1,TCL1A,DVL2,APOE,LRRN1,STAT3,OTX2,CCND1,STEMCCA-P2A,TET2,KAT7_Myst,TDGF1,Eomes,MASP1,KDR,GDF3,NANOG,ZIC3,LIN28A,POU5F1,GAPDH
10,D21 SSEA4+ Tra1-60-  1,999,25.704155125,999,21.6430058525,999,999,20.8170064266,999,999,23.8361380124,23.6790788218,999,22.3169837583,999,999,22.4587312079,999,23.9612073925,999,999,24.0050851853,999,21.6148066225,999,19.9608806976,999,999,999,999,26.097729901,999,999,25.065284387,23.2789765906,999,999,999,999,999,21.7472500079,999,999,24.5318609401,999,999,24.2683593795,999,999,23.7055067387,22.9049473196,24.8952926196,20.056426456,999,999,999,999,23.890095471,999,999,999,23.3353656585,23.468494365,23.6339784969,18.8407542302,25.334411395,23.4669985919,999,999,999,999,999,999,999,999,15.3740833235,24.1781337745,999,23.2027928499,24.4883664516,999,22.3033732885,999,999,18.1373082635,999,24.1188825289,24.7237761533,999,20.5070673629,999,999,999,999,999,999,16.5903053332
11,D21 SSEA4+ Tra1-60-  9,22.9994219311,23.6075205019,999,999,999,999,23.2428504229,999,24.4526159468,23.2510167927,22.3534098808,26.8529243611,21.359343891,999,21.3484565563,22.6488290037,999,999,999,999,22.5213086369,20.9326613852,21.1657009395,999,23.2626377992,999,22.959505857,24.605407777,999,25.5637601367,999,25.7999262048,23.18025217,22.0021488863,999,999,22.5188641436,999,999,22.6988123318,999,31.8367120788,21.8611349256,999,21.4682232262,25.8027777019,24.8202447791,999,20.9836838449,23.7767757594,20.378255434,999,999,999,999,23.5488102884,25.5324475063,999,999,999,22.9379323839,23.2224677908,23.1844071245,999,25.2188962475,999,21.6967013447,23.7155473024,21.0447528565,999,999,999,21.0637192904,999,999,999,999,23.625119978,20.7874535025,999,21.8304826737,999,999,16.8996427793,999,23.2811721313,21.9152581238,999,999,999,21.2463500764,20.7620067073,999,21.9910308347,17.1121476177,17.7349377003
12,D21 SSEA4+ Tra1-60-  19,20.8625539081,24.5594328888,999,999,999,999,23.3675647887,25.617244775,22.9264874499,23.6650758304,22.7605311021,23.4728111125,21.3583474965,999,21.7682253092,22.9637981354,24.7751034234,999,999,999,23.1994866164,20.4411438629,22.1693549195,999,20.7768050372,999,22.1484251616,22.972882452,999,24.5456386048,999,23.9673304657,23.7250752219,22.2488222761,999,999,22.239231419,999,999,22.5791186399,999,999,20.433337573,999,22.8185829185,25.2379367905,999,999,20.0691749933,23.5876061553,20.6471513493,999,999,999,999,23.5731423364,23.7898895426,999,26.450293942,999,21.9119427602,21.5174361485,23.1689136125,999,24.3749366009,23.6837556531,21.6618259917,999,21.1123680647,999,999,999,21.4767097516,999,999,999,999,22.3532367767,20.1461645057,999,25.086120279,24.3273224241,24.3142478276,16.9351118515,25.5694244728,22.4990596224,21.1589977325,999,999,999,19.7264957507,20.6044595018,999,22.0423169608,15.9046838901,17.0709255424
13,D7 SSEA4+ Tra1-60-  3,999,999,999,999,23.9907874709,999,20.5353312073,999,999,23.5479715654,23.3284383531,999,21.2469142787,999,24.8182142305,21.8919752101,999,999,999,999,23.7463726323,999,21.2164396381,999,19.3645689356,999,25.364155883,24.3694087681,999,26.0306894691,25.1783688403,999,999,21.9568008507,999,999,999,999,26.1183524727,23.8261567563,999,999,999,999,999,21.9958612329,27.2968108192,999,999,999,22.7903408899,24.6505174161,999,999,999,999,21.3647883881,999,27.5950394197,999,21.629103547,22.1042256591,22.0994862592,999,24.0666192439,23.0176000475,22.4778692927,24.4598988509,999,999,999,999,999,999,23.3201569305,999,999,22.8128665432,999,999,21.943402473,999,22.1584751635,17.2740913583,26.2297960123,23.9510925823,999,999,999,999,999,999,999,999,999,16.5881311212
14,D7 SSEA4+ Tra1-60-  18,999,999,999,24.0835023484,22.4275032026,999,18.4112164693,999,999,23.6043315912,23.6837041874,999,22.1344380755,999,999,21.896012345,999,22.8225942035,999,999,23.9480235567,999,22.4734433396,999,20.9155973663,999,23.1442032914,24.4307879802,999,24.4509642736,999,999,21.923161404,22.3325753133,999,999,999,999,24.8238548411,21.9931436799,999,999,999,999,999,24.5192047425,23.9154874073,999,999,25.0410579198,999,18.1733363586,999,999,999,999,23.9772693032,999,26.07802897,999,23.0604572023,22.5718594959,22.7702806371,23.0208978614,999,23.9408219526,999,25.229883625,999,999,999,999,999,999,18.6923904288,21.4439858129,999,25.7360084413,999,999,23.4950623365,999,20.0876279151,18.5494331012,999,22.8249933648,999,999,22.7064893382,999,999,999,999,999,999,16.1640616348
15,D7 SSEA4+ Tra1-60-  27,999,999,999,23.2267203857,21.8728430228,999,20.0344421448,999,999,26.4201150391,27.7317334694,999,23.3866835975,999,999,22.1841368688,999,26.1695790503,27.8190948117,999,24.5577808327,999,22.8107004633,999,25.1626129027,999,22.3343504627,24.3425286395,999,24.824553088,999,999,23.4233855212,22.8851256386,999,999,999,999,26.3184159332,21.4548813955,999,999,999,999,999,23.7674073079,999,999,999,23.7401585492,999,21.0450774662,999,999,999,999,999,999,26.0355957483,999,23.1314728101,25.0831388427,23.6981051402,21.7801929799,25.6188592084,23.6056945148,999,24.8125454382,999,999,999,999,999,999,18.094119447,21.9456777149,999,22.805496225,999,999,999,999,21.7018162897,19.0071513071,24.9618250376,999,999,999,21.6649480323,999,999,999,999,999,999,16.6086642799
16,D11 SSEA4+ Tra1-60-  2,999,999,999,22.4810876563,22.4811419331,999,20.8564814703,999,999,25.733537263,24.2770627488,999,24.7815118845,999,999,26.0840584566,999,23.0623146471,999,999,23.6830846236,999,24.8214463056,999,20.1559111621,999,999,26.249564925,999,999,999,999,999,25.7704847996,999,999,999,999,999,23.2656701339,999,999,999,999,999,25.9032884912,26.2330719219,999,999,25.7900839971,25.342940868,20.1157292314,999,999,999,999,26.156243156,999,999,999,24.5251547422,24.3794426288,999,19.622048979,999,23.1648769707,999,26.3406164816,24.5208678829,999,999,999,999,999,18.1535054157,999,999,25.9540266856,23.1512456487,999,22.7375953765,999,21.058912576,18.5457775857,999,999,999,999,24.9256866126,999,999,999,999,24.8206787944,999,18.6422937699
17,D11 SSEA4+ Tra1-60-  10,999,24.6663598362,999,24.1324480705,999,999,999,999,999,23.8829882988,26.5906683114,999,22.9500100531,999,22.1296201231,24.1893734339,999,25.9600040086,999,999,24.7232753839,999,999,999,21.6218370414,22.7356472734,999,999,999,26.3466207358,999,999,20.5017816996,24.5599628757,999,999,999,999,999,24.9599346859,999,999,999,999,24.033884729,25.3197811621,26.9796243582,999,999,24.0363296306,21.7331300473,999,999,999,999,999,23.7520168061,999,999,999,25.2057961259,25.3429346543,27.7446323511,999,25.1438092608,999,22.5174892655,999,22.7190252024,999,999,999,999,999,20.8495888789,999,999,24.8003618989,23.3141797187,999,25.5529664618,999,23.1011445186,18.0178011832,25.948634133,23.2794179162,999,999,999,26.3077760176,999,23.4166660485,999,999,999,19.7261425693
18,D11 SSEA4+ Tra1-60-  18,999,23.7997538865,999,21.4876675304,23.6610402611,999,19.3517991577,999,999,23.5083286823,23.9363361242,999,23.9974487973,999,999,23.5071720064,999,999,25.5593641327,999,24.4920534652,999,22.9548450931,999,19.0104961108,999,23.7203241429,24.8841888477,999,26.3812444035,999,999,999,25.369236819,999,999,999,999,25.6494290238,23.1122270377,999,999,999,999,999,23.798731094,999,999,25.1680447009,23.2326808469,24.5279044815,21.1601132134,999,999,999,999,24.9690538534,999,27.4428010128,999,22.3166686592,22.6838989525,24.7684948155,21.0710598138,999,23.993468231,999,23.5355187406,999,999,999,999,999,999,19.3087549382,21.2886465138,999,24.7173643536,999,999,25.0890394762,999,21.2517064502,18.1995978968,25.6987715227,24.0437853446,999,999,25.0368677024,999,999,999,999,999,999,17.4599375736
19,D14 SSEA4+ Tra1-60-  3,999,999,999,999,21.6870332208,999,23.1430231387,999,999,24.5237576365,24.567421887,999,24.173958652,999,999,23.7625861128,999,999,999,999,24.0794432505,999,23.994506339,999,21.1326014399,999,25.1818126002,999,999,25.0299451847,999,999,999,23.2583721604,999,999,999,999,27.044198713,23.8586359758,999,999,24.962532093,999,999,23.0215393976,999,999,999,24.5982891674,23.1330845891,24.5708264276,999,999,999,999,23.6595103809,999,999,999,999,23.5162740884,23.7732833963,999,27.7984482651,23.9969111324,20.8839412943,999,23.5949024664,999,999,999,999,999,19.9691520278,999,999,25.2122619839,23.2318126195,999,24.3119213242,999,20.1755067859,17.4009914972,25.2008176357,26.3888697679,999,999,999,24.7449341373,26.0601916869,25.7071156865,999,999,999,18.0207878415
20,D14 SSEA4+ Tra1-60-  12,999,22.6777732359,999,999,999,999,23.694677978,999,999,24.470596196,22.9864830101,27.3761986086,22.0017400934,999,23.165210515,24.1561750618,999,999,999,999,23.9112364467,999,22.7338510878,999,999,999,21.2061044573,999,999,999,999,999,999,22.8703254067,999,999,23.1883954679,999,25.848949931,23.5897138617,999,999,23.9683955347,999,22.5683672811,25.5389236265,999,999,22.1930808721,999,23.3945342605,999,999,999,999,999,999,999,26.6295532646,999,23.2960617002,25.1227637229,23.5152618105,999,23.8958300916,22.7706903008,21.1504107784,24.836795469,22.0911646485,999,999,999,23.9977256781,999,23.5400274434,24.5214752759,999,26.2055656531,999,23.1069965543,26.5304346614,25.9170583972,25.7559336416,16.458107052,24.3556243875,23.245459596,21.2538245894,999,22.6118104559,999,23.1320456713,27.2703213319,999,999,18.5547594281,18.0137892628
21,D14 SSEA4+ Tra1-60-  20,999,999,999,999,22.9045948054,999,21.9973776282,999,22.5950021093,26.8866560193,24.4084544742,999,21.3891725362,999,21.3905671568,22.2911974612,23.8938318545,26.362716509,999,999,23.7750648394,999,21.7235666563,999,999,999,25.7119660165,999,999,999,24.7794741598,999,999,23.3792424616,999,999,999,999,999,23.0542697821,999,999,999,999,24.9480710191,22.4774173314,999,999,21.8983925031,24.8105893634,23.0534694754,999,999,999,27.7185501669,999,24.0720764853,999,27.5733706581,999,22.6407234446,23.7639940043,22.3060027681,999,26.6604334094,999,20.4179723867,26.0094022241,23.9189600203,999,999,999,999,999,999,999,999,25.3812992546,999,999,22.9295843434,25.9223828481,22.2804460202,16.5428412861,23.1568303822,23.5177149158,999,999,999,999,21.2046518128,22.9121726297,999,999,21.1485867527,17.8352337555
22,D21 SSEA4+ Tra1-60-  2,23.2568573406,23.3030745877,999,999,24.9385389312,999,999,999,999,24.9644589613,25.5398794233,999,23.0956257394,999,22.8435881369,22.4293112747,25.6547878423,26.2356229568,999,999,25.0133679045,999,22.4083887141,999,23.6746462731,999,23.4605809451,999,999,27.1862970027,999,26.5820595116,999,999,999,999,999,999,999,24.1490528028,999,999,22.648760943,999,23.6533260984,25.4948234675,999,999,23.7575981618,999,24.3222464095,999,999,999,999,999,25.2200156138,999,999,999,24.880864646,24.5616917395,26.4979153513,999,999,23.59207824,22.7037243275,999,22.9626535607,999,999,999,22.8356234528,999,999,999,999,26.0454693287,26.2385652541,999,23.7164970655,999,23.0709074047,18.1241660546,999,26.1946944093,23.0421591145,999,999,999,22.8635458344,22.4938465652,28.2443772648,999,18.5809305228,18.1480012895
23,D21 SSEA4+ Tra1-60-  10,999,23.9840895821,999,999,22.8298513897,999,19.6835593531,999,999,23.6771773979,25.1093945552,999,23.6103755369,999,999,26.2311621626,999,24.257640533,999,999,24.3506681149,28.1631414823,22.9530472159,999,23.8220034747,25.4262469206,24.8606170335,24.2171395148,999,25.383967698,999,999,20.7505981024,23.9300356127,999,999,999,999,999,23.4084635406,999,999,999,999,999,999,999,999,999,22.7746385756,25.3319659062,22.0249018608,999,999,999,999,999,999,999,999,23.2775564802,24.3947178735,25.5229401491,20.4015223759,999,24.5024873727,999,999,999,999,999,999,999,999,18.8547574344,999,999,23.7941586763,999,999,24.8455558021,999,20.8530168014,18.7507523583,999,24.5871047447,999,999,23.8518314118,999,999,999,999,999,999,18.1513699052
24,D21 SSEA4+ Tra1-60-  20,999,23.4293336665,999,999,23.3077647863,999,25.5774824928,999,999,23.7866873738,23.955909698,999,22.6051636007,999,999,23.1035478143,999,999,999,999,23.5947765192,999,21.809902514,999,24.6666730872,22.7523410783,999,24.5045048294,999,26.6604198057,999,999,23.6588325012,23.6023663712,999,999,999,999,999,23.0717435096,999,999,24.8496713441,999,24.098131619,25.2220599677,999,999,999,24.5683033667,22.7954209144,999,999,999,999,999,23.4109971895,999,28.1655666593,999,23.6257863099,22.1180514603,24.2937637368,999,24.093304369,999,20.3675469922,23.6967562023,20.5464128554,999,999,999,999,999,999,999,999,26.2395408918,999,21.8581005592,22.1419605286,999,21.8542004988,17.2694898696,999,22.7350326742,999,999,999,999,999,24.5656244929,999,999,999,17.7850928777
25,D7 SSEA4+ Tra1-60-  4,999,23.7341043541,999,23.4146360455,22.7797413451,999,20.3356801858,999,25.0419715147,23.6784624028,23.7545842435,999,23.6172277405,999,999,22.821896612,999,23.9696293842,25.7508445797,999,23.9168449313,999,22.2741639082,999,21.9678544685,999,22.8528568279,26.3738421674,999,25.9078830768,999,999,23.6743092255,24.4103112309,999,999,999,999,999,22.8463834184,999,999,999,999,999,22.7470333383,24.8319951494,999,999,23.6356183922,999,21.4130789876,999,999,999,999,23.9305078085,999,26.1233246979,999,23.6558413744,23.1734310086,22.9495283128,26.680559734,24.8864093508,22.8441106626,999,999,999,999,999,999,999,999,20.0565966894,22.8522113205,999,24.0453371202,999,999,23.9640218694,999,21.2881180006,18.4134204237,999,23.5606082418,999,999,999,999,999,999,999,999,999,17.0080646258
26,D7 SSEA4+ Tra1-60-  19,999,24.9645238749,999,22.7082024219,21.4421731835,999,19.3250677155,999,999,26.3413693868,24.3368848559,999,23.2676509451,999,999,22.5811653381,999,999,999,999,999,999,22.3480464897,999,999,999,21.7273401432,24.8815437114,999,24.0990533536,999,999,25.6282525996,23.8394914392,999,999,999,999,27.9427346635,21.2026524891,999,999,999,999,999,999,24.6579058821,999,25.3933161888,24.9899207287,24.5953239151,23.1901758048,999,999,999,999,23.4021157432,24.9318707319,26.707149829,999,22.1232794939,23.9983731247,25.6687768792,23.6973751642,999,22.6524878128,999,26.5003567451,999,999,999,999,999,999,20.1584038435,21.1787476949,999,25.0264972635,999,999,23.1282095228,999,19.6385851823,19.0171805213,999,23.3408495966,23.9225547202,999,22.8108687764,999,999,999,999,999,999,16.698589103
27,D7 SSEA4+ Tra1-60-  28,999,999,999,20.9275561634,23.3206755797,999,20.0570334876,999,999,26.8409236749,23.0772395795,999,23.1086769612,999,999,999,999,23.3670907589,27.9728494137,999,24.4501108426,999,999,999,22.975828751,999,25.2462663513,23.504814225,999,24.6316567019,999,999,22.3331545406,22.069366261,999,999,999,999,24.0271477766,23.0824586075,999,999,999,999,999,999,999,999,999,24.3938932593,25.4335220985,20.9447940635,999,999,999,999,23.2686890515,999,999,999,23.4806800084,999,24.464180826,20.7529443508,999,24.0119321947,999,999,999,999,999,999,999,999,16.737674423,24.0216591023,999,23.9988517655,999,999,23.7494119817,999,19.9595287319,18.2882840196,999,23.2657087327,999,999,999,999,999,25.9593819895,999,23.8974707188,999,16.820761083
